+------------+--------+--------+----------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_I | f_rmse_Cs | f_rmse_Pb |                          stdout |
|        160 |   0.31 |  15.79 |    10.79 |    16.55 |    17.91 |    18.59 |       nan |     30.01 |  task_5221_cp2k_singlepoint_pre |
|        161 |   0.30 |  16.35 |    11.02 |    17.25 |    21.37 |    20.28 |       nan |     27.44 |  task_5219_cp2k_singlepoint_pre |
|        162 |   0.27 |  15.45 |    10.39 |    16.50 |    16.62 |    20.08 |       nan |     26.15 |  task_5223_cp2k_singlepoint_pre |
|        163 |   0.11 |  15.66 |    11.47 |    17.91 |    19.90 |    17.41 |       nan |     26.11 |  task_5225_cp2k_singlepoint_pre |
|        164 |   0.04 |  15.55 |    10.60 |    18.08 |    18.87 |    18.37 |       nan |     26.55 |  task_5227_cp2k_singlepoint_pre |
|        165 |   0.07 |  16.66 |    11.32 |    18.30 |    19.75 |    19.54 |       nan |     30.54 |  task_5231_cp2k_singlepoint_pre |
|        166 |   0.28 |  15.72 |    10.26 |    16.91 |    18.26 |    20.22 |       nan |     27.12 |  task_5229_cp2k_singlepoint_pre |
|        167 |   0.02 |  16.21 |    11.02 |    17.07 |    20.50 |    19.62 |       nan |     28.47 |  task_5235_cp2k_singlepoint_pre |
|        168 |   0.07 |  16.94 |    10.91 |    16.24 |    19.64 |    21.98 |       nan |     31.46 |  task_5233_cp2k_singlepoint_pre |
|        169 |   0.00 |  15.51 |    10.82 |    16.87 |    18.72 |    17.26 |       nan |     29.31 |  task_5237_cp2k_singlepoint_pre |
|        170 |   0.11 |  13.82 |    11.10 |    16.28 |    14.69 |    13.39 |      7.59 |     19.70 |  task_5145_cp2k_singlepoint_pre |
|        171 |   0.04 |  14.50 |    11.72 |    18.48 |    16.43 |    13.56 |      7.84 |     21.26 |  task_5151_cp2k_singlepoint_pre |
|        172 |   0.05 |  14.40 |    10.36 |    16.89 |    19.09 |    13.71 |      7.48 |     21.41 |  task_5155_cp2k_singlepoint_pre |
|        173 |   0.16 |  15.55 |    10.63 |    16.17 |    17.65 |    14.63 |      9.84 |     23.80 |  task_5149_cp2k_singlepoint_pre |
|        174 |   0.05 |  14.27 |    10.57 |    15.48 |    20.09 |    12.96 |      9.08 |     21.78 |  task_5147_cp2k_singlepoint_pre |
|        175 |   0.20 |  14.22 |    11.79 |    15.69 |    19.80 |    12.97 |      8.13 |     21.27 |  task_5201_cp2k_singlepoint_pre |
|        176 |   0.19 |  15.47 |    11.46 |    22.24 |    16.66 |    14.07 |      9.72 |     23.04 |  task_5171_cp2k_singlepoint_pre |
|        177 |   0.17 |  14.94 |    10.76 |    18.33 |    20.10 |    14.00 |      8.59 |     22.19 |  task_5161_cp2k_singlepoint_pre |
|        178 |   0.15 |  15.30 |    10.83 |    15.52 |    19.02 |    14.05 |      9.32 |     23.92 |  task_5175_cp2k_singlepoint_pre |
