+------------+--------+--------+----------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_I | f_rmse_Cs | f_rmse_Pb |                          stdout |
|        562 |   0.28 |  26.54 |    21.39 |    34.48 |    46.27 |    24.13 |     13.14 |     35.21 | task_19418_cp2k_singlepoint_pre |
|        563 |   0.22 |  23.24 |    15.93 |    26.57 |    29.58 |    23.30 |     15.52 |     36.45 | task_19420_cp2k_singlepoint_pre |
|        564 |   0.09 |  26.22 |    20.01 |    36.64 |    40.60 |    24.04 |     16.10 |     36.00 | task_19424_cp2k_singlepoint_pre |
|        565 |   0.53 |  24.40 |    18.16 |    29.21 |    29.68 |    24.56 |     12.95 |     36.56 | task_19422_cp2k_singlepoint_pre |
|        566 |   0.22 |  29.85 |    30.67 |    43.84 |    40.95 |    23.52 |     15.14 |     33.15 | task_19430_cp2k_singlepoint_pre |
|        567 |   0.08 |  23.17 |    17.27 |    27.03 |    38.19 |    22.87 |     12.42 |     32.30 | task_19428_cp2k_singlepoint_pre |
|        568 |   0.45 |  24.95 |    19.66 |    33.11 |    41.95 |    21.91 |     13.77 |     35.34 | task_19432_cp2k_singlepoint_pre |
|        569 |   0.17 |  23.14 |    18.45 |    30.49 |    34.15 |    21.03 |     13.02 |     33.11 | task_19426_cp2k_singlepoint_pre |
|        570 |   0.40 |  24.40 |    18.20 |    34.33 |    31.32 |    23.24 |     13.94 |     35.25 | task_19434_cp2k_singlepoint_pre |
|        571 |   0.31 |  23.18 |    18.78 |    30.16 |    34.87 |    21.23 |     13.32 |     31.69 | task_19436_cp2k_singlepoint_pre |
|        572 |   0.02 |  23.67 |    18.48 |    32.07 |    35.14 |    20.57 |     13.48 |     35.09 | task_19438_cp2k_singlepoint_pre |
|        573 |   0.06 |  23.83 |    18.17 |    31.21 |    34.11 |    23.24 |     14.84 |     32.76 | task_19442_cp2k_singlepoint_pre |
|        574 |   0.13 |  25.87 |    18.21 |    30.43 |    31.40 |    27.95 |     16.48 |     38.33 | task_19440_cp2k_singlepoint_pre |
|        575 |   0.09 |  26.85 |    17.02 |    31.42 |    40.54 |    29.67 |     16.05 |     38.36 | task_19444_cp2k_singlepoint_pre |
|        576 |   0.13 |  23.40 |    19.44 |    31.20 |    39.63 |    21.05 |     14.42 |     27.78 | task_19446_cp2k_singlepoint_pre |
|        577 |   0.07 |  23.21 |    18.12 |    31.84 |    30.61 |    22.30 |     13.09 |     31.83 | task_19450_cp2k_singlepoint_pre |
|        578 |   0.21 |  23.63 |    18.16 |    32.80 |    32.96 |    23.09 |     13.96 |     30.76 | task_19448_cp2k_singlepoint_pre |
|        579 |   0.05 |  26.75 |    18.57 |    30.14 |    36.34 |    27.75 |     17.25 |     41.82 | task_19452_cp2k_singlepoint_pre |
|        580 |   0.31 |  28.59 |    20.59 |    31.18 |    42.20 |    30.59 |     22.46 |     41.85 | task_19456_cp2k_singlepoint_pre |
|        581 |   0.11 |  23.61 |    18.28 |    29.63 |    34.07 |    22.96 |     12.94 |     33.65 | task_19454_cp2k_singlepoint_pre |
|        582 |   0.05 |  26.06 |    17.83 |    32.61 |    40.63 |    25.97 |     14.65 |     39.83 | task_19458_cp2k_singlepoint_pre |
|        583 |   0.51 |  24.56 |    19.32 |    31.12 |    36.72 |    23.89 |     14.27 |     32.81 | task_19460_cp2k_singlepoint_pre |
|        584 |   0.31 |  26.35 |    18.64 |    32.93 |    33.80 |    27.79 |     18.54 |     39.48 | task_19462_cp2k_singlepoint_pre |
|        585 |   0.06 |  25.43 |    18.58 |    31.85 |    36.67 |    25.61 |     13.56 |     37.49 | task_19464_cp2k_singlepoint_pre |
|        586 |   0.17 |  24.15 |    18.06 |    30.64 |    38.60 |    22.80 |     14.15 |     34.56 | task_19468_cp2k_singlepoint_pre |
|        587 |   0.07 |  24.59 |    17.78 |    32.79 |    34.61 |    24.71 |     16.69 |     34.52 | task_19466_cp2k_singlepoint_pre |
|        588 |   0.07 |  26.02 |    20.28 |    31.38 |    40.18 |    25.06 |     14.20 |     36.90 | task_19470_cp2k_singlepoint_pre |
|        589 |   0.21 |  25.56 |    19.51 |    35.43 |    40.22 |    23.91 |     13.50 |     32.97 | task_19472_cp2k_singlepoint_pre |
|        590 |   0.26 |  25.28 |    19.00 |    32.61 |    35.67 |    24.20 |     15.28 |     38.16 | task_19476_cp2k_singlepoint_pre |
|        591 |   0.28 |  23.47 |    17.94 |    30.55 |    35.04 |    23.14 |     12.33 |     31.45 | task_19474_cp2k_singlepoint_pre |
|        592 |   0.10 |  25.62 |    18.72 |    31.56 |    38.49 |    25.07 |     16.00 |     39.35 | task_19478_cp2k_singlepoint_pre |
|        593 |   0.05 |  24.20 |    18.15 |    31.22 |    31.00 |    24.19 |     16.83 |     36.53 | task_19480_cp2k_singlepoint_pre |
|        594 |   0.03 |  26.48 |    19.10 |    32.41 |    33.32 |    29.28 |     19.95 |     38.66 | task_19484_cp2k_singlepoint_pre |
|        595 |   0.04 |  27.15 |    19.33 |    30.26 |    38.60 |    30.73 |     17.09 |     39.73 | task_19482_cp2k_singlepoint_pre |
|        596 |   0.09 |  27.04 |    18.23 |    30.44 |    31.96 |    30.69 |     18.54 |     45.62 | task_19486_cp2k_singlepoint_pre |
|        597 |   0.12 |  24.24 |    17.40 |    32.13 |    32.45 |    24.38 |     14.05 |     36.83 | task_19488_cp2k_singlepoint_pre |
|        598 |   0.03 |  25.66 |    19.18 |    34.46 |    34.48 |    25.60 |     15.93 |     36.33 | task_19490_cp2k_singlepoint_pre |
|        599 |   0.15 |  26.03 |    19.38 |    31.14 |    39.76 |    25.68 |     14.30 |     39.28 | task_19492_cp2k_singlepoint_pre |
|        600 |   0.01 |  24.50 |    18.77 |    30.96 |    35.91 |    24.55 |     14.36 |     33.85 | task_19494_cp2k_singlepoint_pre |
|        601 |   0.19 |  24.76 |    17.83 |    28.07 |    36.48 |    26.44 |     17.40 |     39.09 | task_19496_cp2k_singlepoint_pre |
|        602 |   0.09 |  25.40 |    19.20 |    31.50 |    32.15 |    27.03 |     15.46 |     37.81 | task_19498_cp2k_singlepoint_pre |
|        603 |   0.06 |  24.44 |    17.75 |    31.19 |    32.78 |    26.09 |     12.95 |     36.11 | task_19500_cp2k_singlepoint_pre |
|        604 |   0.51 |  23.62 |    17.96 |    29.67 |    34.23 |    24.32 |     13.01 |     32.40 | task_19502_cp2k_singlepoint_pre |
|        605 |   0.13 |  24.62 |    18.66 |    31.94 |    37.14 |    24.23 |     10.70 |     33.56 | task_19504_cp2k_singlepoint_pre |
|        606 |   0.11 |  24.67 |    18.89 |    33.28 |    35.19 |    22.40 |     11.64 |     36.39 | task_19514_cp2k_singlepoint_pre |
|        607 |   0.24 |  24.20 |    17.51 |    31.66 |    32.95 |    25.26 |     12.70 |     35.63 | task_19516_cp2k_singlepoint_pre |
|        608 |   0.18 |  23.42 |    17.62 |    29.21 |    33.00 |    24.55 |     13.63 |     33.01 | task_19518_cp2k_singlepoint_pre |
|        609 |   0.20 |  24.88 |    17.32 |    29.82 |    32.10 |    26.97 |     13.00 |     41.81 | task_19520_cp2k_singlepoint_pre |
|        610 |   0.10 |  25.78 |    19.38 |    31.38 |    36.52 |    27.02 |       nan |     38.38 | task_19528_cp2k_singlepoint_pre |
|        611 |   0.23 |  26.68 |    19.16 |    30.50 |    37.87 |    29.54 |       nan |     42.74 | task_19532_cp2k_singlepoint_pre |
|        612 |   0.04 |  25.62 |    18.31 |    30.11 |    35.62 |    27.81 |       nan |     41.91 | task_19534_cp2k_singlepoint_pre |
|        613 |   0.14 |  26.43 |    18.27 |    34.26 |    35.30 |    27.53 |       nan |     44.02 | task_19536_cp2k_singlepoint_pre |
|        614 |   0.02 |  25.68 |    18.66 |    33.33 |    36.01 |    26.21 |       nan |     39.11 | task_19538_cp2k_singlepoint_pre |
|        615 |   0.43 |  26.34 |    18.02 |    32.37 |    33.63 |    30.63 |       nan |     42.03 | task_19540_cp2k_singlepoint_pre |
|        616 |   0.33 |  27.88 |    19.79 |    37.58 |    37.91 |    26.33 |       nan |     46.74 | task_19542_cp2k_singlepoint_pre |
|        617 |   0.03 |  25.81 |    19.07 |    32.15 |    38.29 |    26.43 |       nan |     38.07 | task_19544_cp2k_singlepoint_pre |
|        618 |   0.16 |  25.13 |    17.68 |    30.66 |    38.05 |    27.24 |       nan |     37.63 | task_19546_cp2k_singlepoint_pre |
|        619 |   0.17 |  26.50 |    17.88 |    33.27 |    36.34 |    28.61 |       nan |     44.55 | task_19548_cp2k_singlepoint_pre |
|        620 |   0.19 |  23.68 |    24.84 |    31.66 |    44.49 |    21.45 |     12.48 |     29.55 | task_19506_cp2k_singlepoint_pre |
|        621 |   0.02 |  23.15 |    15.55 |    24.41 |    35.55 |    22.82 |     14.29 |     32.55 | task_19512_cp2k_singlepoint_pre |
|        622 |   0.27 |  24.67 |    21.22 |    29.77 |    33.85 |    22.37 |     14.81 |     36.00 | task_19526_cp2k_singlepoint_pre |
|        623 |   0.24 |  23.82 |    17.25 |    24.24 |    26.18 |    24.05 |     16.17 |     32.44 | task_19508_cp2k_singlepoint_pre |
|        624 |   0.51 |  22.89 |    18.91 |    38.51 |    35.77 |    20.28 |     13.96 |     31.36 | task_19510_cp2k_singlepoint_pre |
|        625 |   0.13 |  20.38 |    16.96 |    26.07 |    34.94 |    17.94 |     13.51 |     29.35 | task_19524_cp2k_singlepoint_pre |
|        626 |   0.95 |  28.12 |    20.26 |    38.22 |    33.60 |    27.22 |     19.99 |     38.11 | task_19522_cp2k_singlepoint_pre |
|        627 |   0.42 |  24.49 |    18.47 |    31.15 |    34.09 |    23.62 |     16.59 |     33.21 | task_19530_cp2k_singlepoint_pre |
|        628 |   0.38 |  24.88 |    18.85 |    29.44 |    41.64 |    24.65 |     14.88 |     32.62 | task_19552_cp2k_singlepoint_pre |
|        629 |   0.38 |  24.79 |    15.89 |    26.75 |    22.13 |    24.10 |     17.78 |     36.45 | task_19550_cp2k_singlepoint_pre |
|        630 |   0.93 |  23.24 |      nan |      nan |      nan |    21.76 |     14.20 |     32.84 | task_22252_cp2k_singlepoint_pre |
|        631 |   0.63 |  22.06 |      nan |      nan |      nan |    20.70 |     13.50 |     31.06 | task_22254_cp2k_singlepoint_pre |
|        632 |   0.92 |  23.06 |      nan |      nan |      nan |    20.61 |     13.41 |     34.72 | task_22260_cp2k_singlepoint_pre |
|        633 |   1.37 |  28.31 |      nan |      nan |      nan |    25.44 |     19.47 |     41.07 | task_22248_cp2k_singlepoint_pre |
|        634 |   0.43 |  25.38 |      nan |      nan |      nan |    23.47 |     16.17 |     36.15 | task_22250_cp2k_singlepoint_pre |
|        635 |   0.64 |  28.33 |      nan |      nan |      nan |    26.40 |     15.96 |     40.83 | task_22256_cp2k_singlepoint_pre |
|        636 |   1.81 |  27.70 |      nan |      nan |      nan |    25.51 |     19.80 |     38.63 | task_22262_cp2k_singlepoint_pre |
|        637 |   0.34 |  22.68 |      nan |      nan |      nan |    20.90 |     12.59 |     33.22 | task_22258_cp2k_singlepoint_pre |
|        638 |   0.06 |  24.19 |      nan |      nan |      nan |    22.57 |     16.09 |     33.74 | task_22264_cp2k_singlepoint_pre |
|        639 |   0.73 |  27.53 |      nan |      nan |      nan |    25.00 |     16.50 |     40.53 | task_22246_cp2k_singlepoint_pre |
|        640 |   0.39 |  23.65 |    18.11 |    32.55 |    34.20 |    21.36 |     15.49 |     34.19 | task_22274_cp2k_singlepoint_pre |
|        641 |   0.31 |  27.11 |    20.37 |    33.03 |    33.77 |    25.44 |     19.84 |     40.20 | task_22268_cp2k_singlepoint_pre |
|        642 |   0.32 |  25.58 |    19.69 |    31.95 |    41.60 |    24.35 |     16.34 |     34.77 | task_22266_cp2k_singlepoint_pre |
|        643 |   0.35 |  28.45 |    16.86 |    30.24 |    34.72 |    28.67 |     21.59 |     43.91 | task_22270_cp2k_singlepoint_pre |
|        644 |   0.28 |  25.10 |    18.21 |    33.94 |    29.36 |    23.68 |     15.67 |     37.46 | task_22280_cp2k_singlepoint_pre |
|        645 |   0.35 |  34.66 |    19.40 |    32.25 |    37.54 |    29.67 |     19.51 |     66.79 | task_22278_cp2k_singlepoint_pre |
|        646 |   0.34 |  23.96 |    17.99 |    30.58 |    42.78 |    22.50 |     15.11 |     32.29 | task_22284_cp2k_singlepoint_pre |
|        647 |   0.09 |  25.97 |    18.42 |    29.68 |    29.57 |    24.11 |     17.96 |     41.64 | task_22282_cp2k_singlepoint_pre |
|        648 |   0.48 |  29.27 |    20.14 |    37.63 |    45.36 |    27.14 |     20.97 |     43.03 | task_22276_cp2k_singlepoint_pre |
|        649 |   0.71 |  25.90 |    20.93 |    35.32 |    42.66 |    24.03 |     13.87 |     34.61 | task_22272_cp2k_singlepoint_pre |
|        650 |   0.23 |  32.52 |    28.09 |    38.98 |    37.23 |    25.76 |     15.23 |     55.61 | task_22290_cp2k_singlepoint_pre |
|        651 |   0.12 |  25.35 |    19.42 |    33.61 |    40.05 |    23.97 |     15.50 |     34.22 | task_22286_cp2k_singlepoint_pre |
|        652 |   0.53 |  22.97 |    18.14 |    25.59 |    40.35 |    21.59 |     13.13 |     31.99 | task_22288_cp2k_singlepoint_pre |
|        653 |   0.09 |  25.70 |    19.68 |    30.56 |    40.10 |    24.28 |     17.11 |     36.91 | task_22302_cp2k_singlepoint_pre |
|        654 |   0.23 |  26.71 |    19.04 |    37.07 |    32.51 |    25.90 |     16.05 |     39.40 | task_22304_cp2k_singlepoint_pre |
|        655 |   0.19 |  27.98 |    20.76 |    33.99 |    38.12 |    26.97 |     19.40 |     41.55 | task_22300_cp2k_singlepoint_pre |
|        656 |   0.08 |  29.63 |    19.84 |    31.49 |    37.30 |    30.84 |     22.49 |     45.47 | task_22292_cp2k_singlepoint_pre |
|        657 |   0.15 |  28.58 |    20.86 |    32.28 |    44.35 |    28.29 |     19.55 |     41.02 | task_22298_cp2k_singlepoint_pre |
|        658 |   0.01 |  25.85 |    19.89 |    31.18 |    35.52 |    25.27 |     19.03 |     36.27 | task_22296_cp2k_singlepoint_pre |
|        659 |   0.12 |  24.46 |    17.19 |    25.65 |    39.03 |    24.00 |     16.08 |     37.31 | task_22294_cp2k_singlepoint_pre |
|        660 |   0.38 |  25.92 |    19.69 |    32.91 |    37.81 |    25.37 |     12.79 |     36.80 | task_22314_cp2k_singlepoint_pre |
|        661 |   0.20 |  25.91 |    18.64 |    33.82 |    39.67 |    25.81 |     15.82 |     35.65 | task_22318_cp2k_singlepoint_pre |
|        662 |   0.31 |  22.80 |    17.72 |    27.07 |    32.24 |    22.51 |     13.63 |     32.81 | task_22324_cp2k_singlepoint_pre |
|        663 |   0.76 |  25.90 |    19.62 |    36.73 |    43.70 |    24.13 |     13.46 |     32.09 | task_22322_cp2k_singlepoint_pre |
|        664 |   0.04 |  30.39 |    20.66 |    34.34 |    41.98 |    32.02 |     21.40 |     46.50 | task_22306_cp2k_singlepoint_pre |
|        665 |   0.45 |  30.47 |    20.70 |    34.34 |    35.57 |    35.61 |     18.58 |     42.20 | task_22308_cp2k_singlepoint_pre |
|        666 |   0.20 |  27.26 |    20.82 |    34.87 |    40.36 |    26.21 |     18.06 |     37.94 | task_22312_cp2k_singlepoint_pre |
|        667 |   0.05 |  27.97 |    23.73 |    36.24 |    43.17 |    25.01 |     13.20 |     36.89 | task_22316_cp2k_singlepoint_pre |
|        668 |   0.00 |  26.62 |    19.15 |    36.97 |    36.86 |    25.84 |     19.22 |     37.24 | task_22310_cp2k_singlepoint_pre |
|        669 |   0.09 |  26.85 |    20.54 |    36.02 |    44.45 |    25.66 |     14.02 |     34.07 | task_22320_cp2k_singlepoint_pre |
|        670 |   0.18 |  29.09 |    20.04 |    37.55 |    46.89 |    29.47 |     16.19 |     40.91 | task_22334_cp2k_singlepoint_pre |
|        671 |   0.28 |  26.47 |    19.65 |    31.75 |    38.43 |    27.29 |     17.99 |     37.62 | task_22328_cp2k_singlepoint_pre |
|        672 |   0.14 |  31.05 |    20.87 |    40.28 |    38.63 |    31.75 |     21.17 |     50.12 | task_22342_cp2k_singlepoint_pre |
|        673 |   0.51 |  24.72 |    19.81 |    31.50 |    37.95 |    23.36 |     14.30 |     32.52 | task_22340_cp2k_singlepoint_pre |
|        674 |   0.04 |  25.35 |    19.17 |    30.63 |    35.98 |    26.18 |     16.82 |     35.30 | task_22338_cp2k_singlepoint_pre |
|        675 |   0.09 |  24.90 |    18.49 |    29.62 |    33.99 |    24.95 |     15.40 |     38.62 | task_22326_cp2k_singlepoint_pre |
|        676 |   0.26 |  27.48 |    19.43 |    36.49 |    40.64 |    26.51 |     17.13 |     41.13 | task_22344_cp2k_singlepoint_pre |
|        677 |   0.11 |  28.01 |    20.13 |    37.14 |    43.39 |    27.19 |     18.90 |     39.31 | task_22336_cp2k_singlepoint_pre |
|        678 |   0.05 |  27.52 |    19.67 |    32.90 |    37.96 |    29.05 |     14.29 |     41.51 | task_22332_cp2k_singlepoint_pre |
|        679 |   0.10 |  26.48 |    19.66 |    35.75 |    38.63 |    26.09 |     16.04 |     35.86 | task_22330_cp2k_singlepoint_pre |
|        680 |   0.26 |  26.69 |    20.16 |    36.05 |    36.58 |    26.18 |     16.62 |     37.25 | task_22348_cp2k_singlepoint_pre |
|        681 |   0.20 |  27.46 |    18.90 |    33.31 |    39.50 |    28.98 |     19.33 |     42.81 | task_22346_cp2k_singlepoint_pre |
|        682 |   0.05 |  26.46 |    18.64 |    32.15 |    38.99 |    28.43 |     17.21 |     38.45 | task_22366_cp2k_singlepoint_pre |
|        683 |   0.09 |  25.72 |    19.43 |    36.49 |    36.27 |    24.65 |     18.13 |     33.40 | task_22370_cp2k_singlepoint_pre |
|        684 |   0.11 |  27.99 |    18.86 |    34.46 |    33.96 |    29.93 |     25.05 |     46.56 | task_22372_cp2k_singlepoint_pre |
|        685 |   0.06 |  30.15 |    20.35 |    36.16 |    44.99 |    32.27 |     18.38 |     46.78 | task_22376_cp2k_singlepoint_pre |
|        686 |   0.37 |  26.69 |    19.75 |    34.36 |    39.08 |    26.86 |     16.34 |     37.60 | task_22382_cp2k_singlepoint_pre |
|        687 |   0.20 |  27.73 |    19.80 |    35.18 |    41.46 |    28.04 |     14.88 |     41.25 | task_22374_cp2k_singlepoint_pre |
|        688 |   0.20 |  26.44 |    20.42 |    32.12 |    37.91 |    26.95 |     14.29 |     37.15 | task_22378_cp2k_singlepoint_pre |
|        689 |   0.29 |  28.12 |    19.96 |    34.23 |    40.39 |    29.69 |     21.30 |     41.88 | task_22380_cp2k_singlepoint_pre |
|        690 |   0.12 |  25.14 |    17.65 |    30.05 |    40.36 |    26.73 |     17.16 |     36.40 | task_22388_cp2k_singlepoint_pre |
|        691 |   0.38 |  27.39 |    17.90 |    29.54 |    37.32 |    32.46 |     22.87 |     45.86 | task_22386_cp2k_singlepoint_pre |
|        692 |   0.24 |  27.15 |    20.73 |    34.60 |    43.18 |    25.81 |     15.89 |     37.01 | task_22392_cp2k_singlepoint_pre |
|        693 |   0.50 |  26.92 |    19.29 |    33.32 |    39.36 |    28.72 |     17.15 |     39.37 | task_22390_cp2k_singlepoint_pre |
|        694 |   0.64 |  27.25 |    20.22 |    35.26 |    35.18 |    28.27 |     14.77 |     40.77 | task_22394_cp2k_singlepoint_pre |
|        695 |   0.11 |  26.96 |    20.69 |    35.48 |    39.18 |    26.16 |     15.05 |     36.99 | task_22396_cp2k_singlepoint_pre |
|        696 |   0.32 |  26.19 |    19.79 |    35.70 |    36.04 |    24.89 |     16.53 |     37.77 | task_22398_cp2k_singlepoint_pre |
|        697 |   0.17 |  24.90 |    19.22 |    30.18 |    35.58 |    25.29 |     13.28 |     36.02 | task_22400_cp2k_singlepoint_pre |
|        698 |   0.27 |  25.09 |    19.74 |    32.00 |    39.01 |    23.32 |     15.28 |     33.82 | task_22402_cp2k_singlepoint_pre |
|        699 |   0.14 |  28.37 |    20.14 |    33.67 |    39.82 |    30.99 |     19.85 |     43.91 | task_22404_cp2k_singlepoint_pre |
|        700 |   0.04 |  27.58 |    20.68 |    33.39 |    37.33 |    29.09 |       nan |     42.72 | task_22408_cp2k_singlepoint_pre |
|        701 |   0.03 |  31.57 |    22.38 |    33.53 |    42.60 |    38.89 |       nan |     48.38 | task_22406_cp2k_singlepoint_pre |
|        702 |   0.34 |  26.94 |    19.33 |    32.14 |    35.84 |    29.57 |       nan |     43.86 | task_22410_cp2k_singlepoint_pre |
|        703 |   0.35 |  25.62 |    17.98 |    30.06 |    35.02 |    29.53 |       nan |     40.17 | task_22412_cp2k_singlepoint_pre |
|        704 |   0.20 |  25.03 |    17.54 |    33.24 |    34.20 |    27.51 |       nan |     35.92 | task_22424_cp2k_singlepoint_pre |
|        705 |   0.28 |  29.67 |    19.23 |    29.99 |    40.46 |    34.97 |       nan |     56.07 | task_22418_cp2k_singlepoint_pre |
|        706 |   0.54 |  26.88 |    20.17 |    35.09 |    41.39 |    26.51 |       nan |     36.06 | task_22414_cp2k_singlepoint_pre |
|        707 |   0.39 |  28.44 |    20.00 |    34.74 |    40.32 |    31.25 |       nan |     44.27 | task_22422_cp2k_singlepoint_pre |
|        708 |   0.62 |  26.98 |    19.74 |    29.86 |    36.98 |    31.04 |       nan |     41.99 | task_22416_cp2k_singlepoint_pre |
|        709 |   0.10 |  29.28 |    21.33 |    40.16 |    39.46 |    29.95 |       nan |     41.75 | task_22420_cp2k_singlepoint_pre |
|        710 |   0.13 |  27.09 |    20.59 |    32.89 |    49.14 |    24.67 |     19.72 |     37.74 | task_22350_cp2k_singlepoint_pre |
|        711 |   1.06 |  24.48 |    17.20 |    24.52 |    32.80 |    24.57 |     15.28 |     33.91 | task_22364_cp2k_singlepoint_pre |
|        712 |   0.32 |  28.31 |    21.73 |    33.99 |    51.49 |    25.57 |     18.44 |     40.74 | task_22368_cp2k_singlepoint_pre |
|        713 |   1.12 |  28.65 |    19.47 |    36.44 |    36.25 |    27.50 |     20.21 |     40.35 | task_22352_cp2k_singlepoint_pre |
|        714 |   0.16 |  25.25 |    18.87 |    34.11 |    41.13 |    23.74 |     18.03 |     33.96 | task_22354_cp2k_singlepoint_pre |
|        715 |   0.05 |  23.84 |    21.58 |    35.12 |    28.45 |    23.27 |     14.50 |     29.47 | task_22358_cp2k_singlepoint_pre |
|        716 |   3.21 |  38.88 |    20.38 |    36.33 |    50.64 |    39.09 |     26.38 |     56.47 | task_22356_cp2k_singlepoint_pre |
|        717 |   0.80 |  26.36 |    21.70 |    36.86 |    41.86 |    23.88 |     17.00 |     36.72 | task_22384_cp2k_singlepoint_pre |
|        718 |   1.48 |  32.02 |    23.46 |    32.13 |    39.45 |    32.49 |     20.95 |     43.05 | task_22362_cp2k_singlepoint_pre |
|        719 |   1.17 |  29.96 |    18.35 |    38.17 |    38.03 |    26.45 |     22.19 |     46.88 | task_22360_cp2k_singlepoint_pre |
|        720 |   0.14 |  24.67 |      nan |      nan |      nan |    23.04 |     13.84 |     35.49 | task_25131_cp2k_singlepoint_pre |
|        721 |   0.56 |  22.98 |      nan |      nan |      nan |    21.15 |     15.72 |     32.41 | task_25127_cp2k_singlepoint_pre |
|        722 |   0.51 |  23.64 |      nan |      nan |      nan |    22.15 |     12.36 |     34.20 | task_25135_cp2k_singlepoint_pre |
|        723 |   1.48 |  29.16 |      nan |      nan |      nan |    27.11 |     21.15 |     40.01 | task_25133_cp2k_singlepoint_pre |
|        724 |   1.00 |  28.58 |      nan |      nan |      nan |    25.50 |     20.50 |     41.40 | task_25121_cp2k_singlepoint_pre |
|        725 |   1.15 |  27.51 |      nan |      nan |      nan |    25.66 |     20.04 |     37.49 | task_25123_cp2k_singlepoint_pre |
|        726 |   0.98 |  29.28 |      nan |      nan |      nan |    27.75 |     19.96 |     39.72 | task_25129_cp2k_singlepoint_pre |
|        727 |   0.05 |  23.44 |      nan |      nan |      nan |    22.56 |     14.36 |     31.86 | task_25125_cp2k_singlepoint_pre |
|        728 |   0.54 |  24.58 |      nan |      nan |      nan |    23.87 |     17.01 |     31.97 | task_25137_cp2k_singlepoint_pre |
|        729 |   2.01 |  31.77 |      nan |      nan |      nan |    28.84 |     22.41 |     45.28 | task_25139_cp2k_singlepoint_pre |
|        730 |   0.03 |  27.94 |    26.87 |    40.32 |    47.02 |    23.82 |     14.81 |     34.36 | task_25143_cp2k_singlepoint_pre |
|        731 |   1.23 |  30.04 |    18.03 |    27.96 |    34.58 |    30.09 |     25.61 |     47.12 | task_25147_cp2k_singlepoint_pre |
|        732 |   0.13 |  26.86 |    20.03 |    37.97 |    40.65 |    25.11 |     16.21 |     37.26 | task_25141_cp2k_singlepoint_pre |
|        733 |   0.90 |  33.47 |    21.21 |    32.08 |    49.65 |    33.89 |     22.97 |     50.28 | task_25155_cp2k_singlepoint_pre |
|        734 |   0.65 |  27.60 |    21.09 |    34.82 |    46.93 |    26.38 |     18.41 |     36.43 | task_25159_cp2k_singlepoint_pre |
|        735 |   0.29 |  28.73 |    18.64 |    36.24 |    37.81 |    27.47 |     17.24 |     44.65 | task_25149_cp2k_singlepoint_pre |
|        736 |   0.08 |  25.96 |    20.79 |    34.02 |    34.41 |    24.94 |     14.71 |     35.85 | task_25151_cp2k_singlepoint_pre |
|        737 |   0.11 |  26.86 |    20.35 |    28.47 |    33.01 |    27.72 |     17.41 |     37.01 | task_25157_cp2k_singlepoint_pre |
|        738 |   1.21 |  32.16 |    19.75 |    31.26 |    37.41 |    32.45 |     23.90 |     50.48 | task_25153_cp2k_singlepoint_pre |
|        739 |   0.71 |  29.89 |    22.11 |    38.03 |    30.32 |    28.99 |     26.60 |     41.45 | task_25145_cp2k_singlepoint_pre |
|        740 |   0.48 |  29.58 |    20.08 |    35.97 |    44.01 |    29.62 |     19.97 |     43.24 | task_25161_cp2k_singlepoint_pre |
|        741 |   0.37 |  26.75 |    17.95 |    33.19 |    42.56 |    26.69 |     18.40 |     37.98 | task_25167_cp2k_singlepoint_pre |
|        742 |   0.32 |  22.34 |    17.55 |    29.26 |    31.77 |    21.10 |     13.37 |     31.22 | task_25165_cp2k_singlepoint_pre |
|        743 |   0.52 |  26.01 |    20.68 |    35.96 |    34.41 |    25.92 |     16.88 |     32.11 | task_25163_cp2k_singlepoint_pre |
|        744 |   0.05 |  27.58 |    19.15 |    33.13 |    35.25 |    28.38 |     16.69 |     40.95 | task_25169_cp2k_singlepoint_pre |
|        745 |   0.16 |  26.37 |    20.61 |    33.46 |    41.36 |    25.18 |     17.46 |     35.14 | task_25171_cp2k_singlepoint_pre |
|        746 |   0.60 |  27.81 |    22.30 |    29.71 |    35.16 |    27.11 |     18.55 |     41.60 | task_25175_cp2k_singlepoint_pre |
|        747 |   0.22 |  27.47 |    20.46 |    31.54 |    36.64 |    26.82 |     18.72 |     41.46 | task_25177_cp2k_singlepoint_pre |
|        748 |   0.31 |  27.86 |    21.22 |    35.79 |    40.98 |    27.52 |     17.52 |     37.27 | task_25179_cp2k_singlepoint_pre |
|        749 |   0.09 |  25.94 |    18.36 |    36.14 |    38.39 |    25.30 |     18.27 |     34.85 | task_25173_cp2k_singlepoint_pre |
|        750 |   0.06 |  26.99 |    20.56 |    35.98 |    37.66 |    26.45 |     17.60 |     36.53 | task_25193_cp2k_singlepoint_pre |
|        751 |   0.18 |  24.80 |    18.86 |    31.31 |    42.11 |    23.76 |     14.52 |     32.56 | task_25195_cp2k_singlepoint_pre |
|        752 |   0.02 |  24.13 |    18.20 |    31.80 |    32.52 |    23.26 |     15.10 |     34.90 | task_25199_cp2k_singlepoint_pre |
|        753 |   0.24 |  25.80 |    18.09 |    31.97 |    34.63 |    25.52 |     19.07 |     39.88 | task_25197_cp2k_singlepoint_pre |
